product_name,price_(kes),skin_type,conditions,ingredients,effectiveness_score,benefits,skin_type_All,skin_type_Combination,skin_type_Dry,skin_type_Normal,skin_type_Oily,skin_type_Sensitive,condition_Acne,condition_Blackheads,condition_Dry Skin,condition_Eczema,condition_Psoriasis,condition_Sensitive,condition_Vitiligo,condition_Wrinkles,condition_Diabetic Skin,cleaned_benefits,cleaned_ingredients
Acne Clear Face Wash,1500,Oily,Acne,Salicylic Acid; Tea Tree Oil,9.0,"['Antibacterial', 'Clears clogged pores']",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,antibacterial clears clogged pores,salicylic acid tea tree oil
Hydration Repair Cream,2000,Dry; Sensitive,Eczema; Dry Skin; Diabetic Skin,Hyaluronic Acid; Ceramides,8.5,"['Deep hydration', 'Restores skin barrier']",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,deep hydration restores skin barrier,hyaluronic acid ceramides
Oil-Free Sunscreen SPF 50,1800,Oily; Combination,Acne; Sensitive,Zinc Oxide; Aloe Vera,8.8,['UV Protection'],0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,uv protection,zinc oxide aloe vera
Psoriasis Relief Balm,2500,Dry,Psoriasis,Oat Extract; Shea Butter,9.2,['Soothes irritation'],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,soothes irritation,oat extract shea butter
Vitiligo Pigment Booster,3000,All,Vitiligo,Vitamin C; Niacinamide,7.8,['Brightens skin'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,brightens skin,vitamin c niacinamide
Anti-Redness Moisturizer,2200,Sensitive,Eczema; Dry Skin; Diabetic Skin,Green Tea Extract; Chamomile,8.7,['Reduces redness; antioxidant'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,reduces redness antioxidant,green tea extract chamomile
Hydrating Gel Cleanser,1700,Combination,Dry Skin; Acne; Diabetic Skin,Hyaluronic Acid; Aloe Vera,8.2,['Deep hydration'],0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,deep hydration,hyaluronic acid aloe vera
Deep Pore Charcoal Mask,1800,Oily; Combination,Acne; Blackheads,Activated Charcoal; Clay,9.1,['Absorbs excess oil'],0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,absorbs excess oil,activated charcoal clay
Intensive Repair Night Cream,2800,Dry; Normal,Dry Skin; Wrinkles; Diabetic Skin,Retinol; Peptides,8.9,['Anti-aging; improves texture'],0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,antiaging improves texture,retinol peptides
Ultra-Light Daily Moisturizer,1900,Normal; Combination,Unknown,Jojoba Oil; Squalane,8.5,['Lightweight hydration'],0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lightweight hydration,jojoba oil squalane
